"No.","Time","Source","Destination","Protocol","Length","Info"
"21054","35.577518","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21055","35.577830","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21056","35.578948","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21057","35.578948","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21058","35.578948","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21059","35.579334","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21060","35.580450","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21061","35.580450","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21062","35.580450","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21063","35.580840","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21064","35.581899","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21065","35.581899","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21066","35.581899","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21067","35.582287","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21068","35.583623","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21069","35.583623","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21070","35.583623","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21071","35.584122","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21072","35.584878","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21073","35.584878","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21074","35.585314","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21075","35.586362","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21076","35.586362","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21077","35.586362","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21078","35.587907","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21079","35.587907","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21080","35.587907","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21081","35.588643","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21082","35.589729","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21083","35.589729","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21084","35.589729","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21085","35.590207","192.168.2.212","184.150.37.140","UDP","81","59814  >  443 Len=39"
"21086","35.590953","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21087","35.590953","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21088","35.590953","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21089","35.591357","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21090","35.592285","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21091","35.592285","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21092","35.593743","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21093","35.593743","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21094","35.593743","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
