"No.","Time","Source","Destination","Protocol","Length","Info"
"23046","36.526538","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23047","36.526760","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23048","36.529478","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23049","36.529478","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23050","36.529594","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23051","36.529594","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23052","36.529732","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23053","36.532471","192.168.2.20","184.150.37.140","UDP","78","59673  >  443 Len=36"
"23054","36.533576","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23055","36.533576","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23056","36.533576","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23057","36.533576","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23058","36.533576","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23059","36.533576","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23060","36.533576","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23061","36.533576","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23062","36.536624","192.168.2.20","184.150.37.140","UDP","78","59673  >  443 Len=36"
"23063","36.537116","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23064","36.537116","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23065","36.537116","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23066","36.537116","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23067","36.537116","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23068","36.537116","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23069","36.537116","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23070","36.537116","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23071","36.539822","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23072","36.539822","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23073","36.539822","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23074","36.539822","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23075","36.539822","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23076","36.539822","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23077","36.539822","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23078","36.539822","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
